Título,Fecha de registro
08GUA123659/12AMDL18,11/03/2016
4GUA108802/12HMGE96,08/10/1997
4GUA101730/12ABGE94,07/06/1995
4GUA102172/12ACSE94,27/02/1995
08GUA109871/12HMGE98,19/01/1999
A4GUA101527,14/06/1995
08GUA104604/12AMDL12,24/08/1998
08GUA102332/12HMGE98,24/08/1998
851799,19/01/2023
08GUA102439/12AMGE98,24/08/1998
4GUA101535/12AAGE94,13/06/1995
08GUA104345/12AMDL13,24/08/1998
GUA108812,08/10/1997
08GUA120288/12AAGE02,28/05/2002
08GUA110505/12HMGE98,20/01/1999
4GUA101861/12AMGE94,25/04/1995
4GUA101531/12AAGE94,28/07/1995
4GUA101859/12AHGE94,23/02/1995
08GUA101150/12AMDL10,27/04/1995
08GUA102843/26AMGC18,18/01/1999
08GUA104612/12AMGE98,24/08/1998
08GUA101997/12AMGE04,09/06/1995
08GUA102328/12IMDL15,10/05/1995
4GUA101448/12AAGE94,25/05/1995
08GUA155420/12ADDL16,10/03/2016
4GUA101672/12EMGE94,01/03/1995
08GUA123638/12AMDL15,12/01/2016
08GUA110559/12HMGE98,20/01/1999
08GUA108555/12AMDL17,05/09/1997
08GUA108830/12HMDL17,08/10/1997
4GUA101988/12CMGR94,14/06/1995
4GUA101486/12AAGE94,09/05/1995
GUA160475,09/11/2018
4GUA101964/12HMGR94,03/05/1995
08GUA109255/12HMGE98,07/12/1998
08GUA110556/12HMGE98,20/01/1999
08GUA155477/12EDDL16,11/05/2016
4GUA101227/12IMGE94,14/12/1994
08GUA102852/26AMGE98,18/01/1999
4GUA101453/12AAGE94,07/03/1995
08GUA101644/12COGE00,24/02/1995
4GUA102173/12HMGE94,08/03/1995
GUA108829,08/10/1997
08GUA101389/12AMGR94,27/04/1995
08GUA121911/12AMDL15,07/01/2016
4GUA101328/12AMGR94,31/01/1995
08GUA104344/12AMDL18,24/08/1998
08GUA109879/12HMGE98,19/01/1999
08GUA101360/12AMDL14,14/03/1995
08GUA109880/12HMGE98,19/01/1999
4GUA100935/12AMGR94,23/02/1995
08GUA100324/12FVGC20,26/02/2020
GUA101165,24/07/1995
4GUA100805/12HMGR94,03/03/1995
4GUA101246/12HMGE94,09/02/1995
08GUA102079/12AMDL18,28/07/1995
847103,31/05/2022
